Word1	Word2	Similarity
PROLIFIC_PID	Task	N/A
Task	word_1	N/A
word_1	word_2	N/A
word_2	word_3	N/A
word_3	word_4	N/A
word_4	word_5	N/A
word_5	word_6	N/A
word_6	word_7	N/A
word_7	word_8	N/A
word_8	word_9	N/A
word_9	word_10	N/A
word_10	word_11	N/A
word_11	word_12	N/A
word_12	word_13	N/A
word_13	word_14	N/A
word_14	word_15	N/A
word_15	word_16	N/A
word_16	word_17	N/A
word_17	word_18	N/A
word_18	word_19	N/A
word_19	word_20	N/A
word_20	6392 0	N/A
6392 0	CFA	N/A
CFA	equestrienne	0.0223
equestrienne	horsewoman	0.6826
horsewoman	horseman	0.6745
horseman	racehorse	0.6675
racehorse	stallion	0.6938
stallion	horse	0.7200
horse	thoroughbred	0.7159
thoroughbred	equine	0.6710
equine	equestrian	0.6663
equestrian	dressage	0.6298
dressage	horsemanship	0.6178
horsemanship	pony	0.3580
pony	palomino	0.5056
palomino	appaloosa	0.7061
appaloosa	roan	0.6350
roan	mare	0.6322
mare	geld	0.4478
geld	colt	0.4526
colt	trotter	0.7350
trotter	filly	0.7747
filly	6392 2	N/A
6392 2	CFA	N/A
CFA	dendrite	0.0563
dendrite	axon	0.6738
axon	neuron	0.6371
neuron	synapsis	0.4598
synapsis	synapse	0.4699
synapse	cortex	0.6372
cortex	cerebellum	0.7250
cerebellum	brain	0.6980
brain	neural	0.6506
neural	cortical	0.6941
cortical	thalamus	0.6654
thalamus	hypothalamus	0.6532
hypothalamus	neurotransmitter	0.6747
neurotransmitter	dopamine	0.7884
dopamine	receptor	0.5931
receptor	protein	0.6759
protein	molecule	0.6873
molecule	enzyme	0.7456
enzyme	gene	0.6879
gene	phenotype	0.6632
phenotype	6392 3	N/A
6392 3	CFA	N/A
CFA	confront	-0.0171
confront	discover	0.2893
discover	realize	0.4905
realize	convince	0.4097
convince	enlist	0.4278
enlist	learn	0.2547
learn	befriend	0.3253
befriend	seduce	0.5660
seduce	kidnap	0.4361
kidnap	persuade	0.2693
persuade	pretend	0.3402
pretend	decide	0.3088
decide	ask	0.5520
ask	pester	0.4107
pester	abandon	0.2359
abandon	flee	0.4196
flee	vanishe	N/A
vanishe	disappear	N/A
disappear	reappear	0.5792
reappear	resurface	0.4761
resurface	6392 4	N/A
6392 4	CFA	N/A
CFA	deem	0.0573
deem	declare	0.4412
